orientationRrFoot,orientationRpFoot,orientationRyFoot,orientationLrFoot,orientationLpFoot,orientationLyFoot,orientationRrShank,orientationRpShank,orientationRyShank,orientationLrShank,orientationLpShank,orientationLyShank,orientationRrThigh,orientationRpThigh,orientationRyThigh,orientationLrThigh,orientationLpThigh,orientationLyThigh
-179.971452406568,-0.107133986986107,-155,179.97290065419,-0.0271963776527331,155,179.980934387682,-0.0832357362641057,-155,-179.925131787398,-0.0805056572124709,155,179.942013872439,-0.0933720344867131,-155,-179.922504635833,-0.0791558168656049,155
-179.971489057594,-0.107136000425522,-154.999978034507,179.972837312688,-0.0272733194950849,154.999969396687,179.980832327057,-0.0831568082627522,-155.000123892474,-179.925237813818,-0.0804306326458405,154.999953814704,179.941931333122,-0.0932711882069753,-154.99999560538,-179.922644343791,-0.0790889100190324,154.999945328058
-179.971604826796,-0.1071197410694,-154.999931098279,179.972704795229,-0.0274600661062274,154.99989540371,179.980601077499,-0.0829768388409036,-155.000386125394,-179.925483282681,-0.0802739526776298,154.99983742473,179.94173173732,-0.0930226515789245,-154.999963242618,-179.922992983339,-0.0789177488104693,154.999803771968
-179.971836741656,-0.107076501778819,-154.999858054763,179.972487123404,-0.0277980157292759,154.999774018508,179.980220666522,-0.0826685137839163,-155.000787608447,-179.925902630381,-0.0799991321369986,154.999613106028,179.94137894043,-0.0925553772459247,-154.999877177589,-179.923618876207,-0.0785826899447476,154.999535174859
-179.972212664969,-0.106995196612246,-154.999768229294,179.972153134161,-0.0283148331642324,154.999617736394,179.979675733631,-0.0822008423215836,-155.001301228636,-179.926521470254,-0.0795584418169609,154.999241289649,179.940854748623,-0.0918030202475348,-154.999724092236,-179.924556321547,-0.0780338108150911,154.999126834689
-179.972752434268,-0.106882004638735,-154.999678676257,179.971662718355,-0.0290328917572558,154.999437229892,179.97893615677,-0.0815362924703367,-155.001874566345,-179.927357883163,-0.078915826400816,154.998700973822,179.940155310484,-0.0907236959190371,-154.999514654761,-179.925812490848,-0.0772489714323227,154.998592142463
-179.973463902916,-0.106776152197905,-154.999597772327,179.970993283467,-0.0299795146022935,154.999232061131,179.977970854098,-0.0806381916621621,-155.002451533291,-179.928423640938,-0.0780500170654843,154.998004797528,179.939278511034,-0.0892861928769956,-154.999286968579,-179.927378224024,-0.0762232947102694,154.997949986778
-179.974341330299,-0.106725386422757,-154.99950820758,179.970147468726,-0.0311708097326554,154.998988594265,179.976767770388,-0.0794763689907823,-155.002989062091,-179.92971591678,-0.0769423397761451,154.997181399938,179.938228284533,-0.0874731207209805,-154.9990754965,-179.929246213548,-0.0749512026798101,154.997222893935
-179.975362491968,-0.10676595284971,-154.999387609702,179.96914262517,-0.0326193792613229,154.998697591941,179.975329802811,-0.0780265768229771,-155.003455408331,-179.931202014182,-0.0755673008163064,154.996266098836,179.937027122596,-0.0852828924227288,-154.998892061541,-179.931406119186,-0.0734220734908279,154.996444860412
-179.976501650365,-0.106931814278466,-154.999229202959,179.968000432408,-0.0343501575568539,154.99836756343,179.973671231256,-0.0762698689022582,-155.003842571927,-179.932841466731,-0.0739090659065739,154.995307589099,179.935706365151,-0.0827214039451983,-154.998749547864,-179.933826836864,-0.0716358332939031,154.995662278958
-179.977736642121,-0.107251526679714,-154.999043059351,179.966736214312,-0.0363704345101354,154.998001560651,179.971819311526,-0.0742013424359162,-155.004170372259,-179.93461256808,-0.0719737583143421,154.994353888517,179.934284373389,-0.0798094782051175,-154.998656546566,-179.936466996513,-0.0695957732960074,154.99491082406
-179.979045116025,-0.107737156397554,-154.998847144064,179.965364407652,-0.038645842711083,154.997593647571,179.969810365399,-0.071831693253568,-155.004465239354,-179.936508641795,-0.0697747281336085,154.993436929438,179.932764280788,-0.0765787045396152,-154.998604014696,-179.939288019744,-0.0672935622245325,154.994198090694
-179.980411574946,-0.108390032788083,-154.99865083013,179.963902196198,-0.0411284570034501,154.997145276626,179.967677125472,-0.0691785354946013,-155.004748457141,-179.938520651397,-0.0673304391011619,154.99257063176,179.931160940324,-0.0730726386631474,-154.998583754437,-179.942254686809,-0.0647310081656763,154.993519289235
-179.981821740717,-0.109211675028043,-154.998442541367,179.962356840277,-0.0437707891817328,154.996668215869,179.965434479918,-0.0662689268401955,-155.005041390783,-179.940628657636,-0.0646673927231937,154.991759370038,179.929511799962,-0.069347337921601,-154.998593155717,-179.945335464176,-0.0619411012462684,154.992869655273
-179.983249371465,-0.110208498367919,-154.998199709053,179.960719000503,-0.0465197586192806,154.996172380131,179.963102726346,-0.0631410023626049,-155.005360103164,-179.942809681118,-0.0618127222556136,154.990995384302,179.927846982589,-0.0654385301809164,-154.998634002489,-179.948502633197,-0.0589749976246991,154.992249294899
-179.98467598011,-0.111388502305637,-154.997920200045,179.958974143656,-0.0493260950407542,154.995651879883,179.960719747448,-0.0598542658450586,-155.005716081054,-179.945039124446,-0.058802572620368,154.990252469489,179.926175980289,-0.0613605615123397,-154.998711396309,-179.951736946345,-0.0558773910278303,154.991652678292
-179.986101349888,-0.112756970655893,-154.99762228659,179.95712289831,-0.052151091180343,154.99508890369,179.958310705803,-0.0564780492665058,-155.006135713751,-179.947277861771,-0.0556741848946542,154.989505194434,179.92450156308,-0.0571437898087222,-154.998828087998,-179.955021547255,-0.0526725439809943,154.991060758862
-179.987525553371,-0.114307285064303,-154.997320527535,179.955186088985,-0.0549559930521166,154.994466442171,179.955890229284,-0.0530448179879663,-155.006656009293,-179.949481573139,-0.0524504158011995,154.988748299396,179.922830645129,-0.0528298821540765,-154.998980247757,-179.958327881969,-0.0493777110568743,154.9904634908
-179.98895091129,-0.116018462048642,-154.997016803213,179.953194557414,-0.0576878209694889,154.99378269574,179.953479260333,-0.0495483889152889,-155.007306886945,-179.951608039457,-0.049156466581821,154.987996820092,179.921191860553,-0.0484537753867797,-154.999149757031,-179.961619339908,-0.0460136317136949,154.989872107026
-179.99037279888,-0.11786900034564,-154.996712616941,179.951172048532,-0.0603069406235353,154.993052276215,179.951103692827,-0.0459766162457818,-155.008097808758,-179.953608595395,-0.0458232476644371,154.987295724502,179.919638977617,-0.044039470843615,-154.999312815283,-179.964848802239,-0.0426030587798912,154.989309098836
-179.991776200992,-0.119843074091484,-154.996418522907,179.949137016846,-0.0627988134368328,154.992283152229,179.948797876665,-0.0423225443401293,-155.009017570435,-179.955440537765,-0.0424616117416969,154.986712304887,179.918219880951,-0.0395971560856024,-154.999446711746,-179.967961786184,-0.039174262084506,154.988800185337
