orientationRrFoot,orientationRpFoot,orientationRyFoot,orientationLrFoot,orientationLpFoot,orientationLyFoot,orientationRrShank,orientationRpShank,orientationRyShank,orientationLrShank,orientationLpShank,orientationLyShank,orientationRrThigh,orientationRpThigh,orientationRyThigh,orientationLrThigh,orientationLpThigh,orientationLyThigh
-179.98038808552,0.00791442897961581,-155,179.953343390502,0.0149645825075082,155,-179.494240897648,-0.131251704506397,-155,179.889321621121,-0.0195036217473404,155,179.635790254239,-0.315044699098861,-155,179.932732104814,-0.0336462289477434,155
-179.980430073793,0.00768391106688516,-154.999938541144,179.953357142552,0.0148194911566068,155.000036182139,-179.494787848985,-0.131120860933512,-155.000935306825,179.889182211381,-0.0196372015268507,154.998924286823,179.637153384474,-0.313936463236126,-154.999753442551,179.933033675604,-0.0338009983589449,154.999360499129
-179.980530790845,0.00713023035392657,-154.999785255072,179.953412164911,0.0144457013886852,155.000118989995,-179.496067165005,-0.130720338426721,-155.002882652336,179.888881808034,-0.0199908612853412,154.996196425092,179.640463412988,-0.311366761309316,-154.999195319352,179.933721598158,-0.034215147079103,154.997676636976
-179.980693229576,0.00619689502227659,-154.999509792958,179.953524990234,0.0137588565555903,155.000256133027,-179.498270031397,-0.129902359076533,-155.005711884457,179.888424012136,-0.0206137243636496,154.991143691376,179.646336536404,-0.307235670715295,-154.998240511083,179.934845921668,-0.0350287979766874,154.994508735161
-179.980906195475,0.00488500908967803,-154.999106791479,179.953702400758,0.0126984638175485,155.00044713201,-179.501523944397,-0.128606414763584,-155.009062269176,179.887854901732,-0.0214827590681623,154.983260838628,179.655150381158,-0.301785956528718,-154.996801409776,179.936378991467,-0.0363281270979197,154.989566392587
-179.981157870664,0.00320781288543279,-154.998580820634,179.953945202003,0.0112334538468498,155.000694626835,-179.505879916664,-0.126882045577534,-155.012508196234,179.887250892926,-0.0225829804312075,154.972168064083,179.667111475019,-0.29531590773302,-154.994787826974,179.938221256029,-0.0381209243143303,154.982635678466
-179.981447645152,0.00121372365303602,-154.997934525668,179.954247842139,0.00937358147516206,155.001008242093,-179.511295821084,-0.124814227635354,-155.015625570655,179.886695213784,-0.0239819446850186,154.957560840367,179.682303013158,-0.288090717090736,-154.992129631546,179.940225218221,-0.0403540435076873,154.973442813748
-179.981773795195,-0.00102332192300766,-154.997173688142,179.954605862518,0.00716435146856978,155.00137918472,-179.517631398712,-0.12245163980218,-155.017971347071,179.886283139212,-0.0258028072896677,154.939211201716,179.70065480824,-0.280379512871351,-154.988773307214,179.942229288263,-0.0429348055061948,154.961667371795
-179.982122038734,-0.00343762235033133,-154.99630162816,179.955013337444,0.00466344109784864,155.001789533479,-179.524656832212,-0.119818318107565,-155.019093263157,179.886135011704,-0.0281549696988773,154.916985788093,179.721924101453,-0.272469328422636,-154.984641403948,179.944100476845,-0.045734436673906,154.947078175369
-179.982477121934,-0.00594373791929929,-154.995319669888,179.955446260802,0.0019328140835034,155.002229016847,-179.532104204573,-0.116941587178857,-155.018603424564,179.886386653384,-0.0311485829045318,154.890875604183,179.745766347966,-0.264595832140079,-154.979665997252,179.94574198281,-0.0486192941719169,154.929562681235
-179.982819611258,-0.00845287345682079,-154.994236954662,179.955860608153,-0.000951584367434936,155.002688839238,-179.539693209455,-0.113863803757483,-155.016259938395,179.887167467019,-0.0349290881075982,154.861014184848,179.771798943143,-0.256910666656744,-154.97383181344,179.947029819207,-0.0514890245968878,154.909150478405
-179.983123530099,-0.01089979249561,-154.993073023445,179.956216922218,-0.00394957072736426,155.003171022436,-179.547123095813,-0.110632147609505,-155.012030193461,179.888593249002,-0.0396400409802399,154.827673627071,179.799593998495,-0.249558176437121,-154.967182119942,179.947808806819,-0.0542905969761201,154.886136307742
